added_at,id,name,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2018-11-24T09:09:01Z,5YdOLbbkbi4vrTd8CpeGJy,La fine del mondo,Anastasio,0.0165,0.683,183000,0.622,0,1,0.12,-5.895,0,0.175,159.946,0.328
2018-11-21T07:59:57Z,7tn9bAqvyOmTbA7YX2pi6o,Hi-Fi (Live),Piotr Rogucki,0.00743,0.647,269185,0.83,0,7,0.845,-6.555,1,0.0539,130.042,0.779
2018-11-20T06:53:47Z,6wJuYUtLbMQXcHft2gJO44,Szare miraże - Live,Męskie Granie Orkiestra 2018,0.00229,0.34,291253,0.927,8.41e-05,2,0.76,-7.26,1,0.108,183.402,0.295
2018-11-19T21:28:24Z,02KTjn606I4sknms553gIs,Ostatni - Live,Męskie Granie Orkiestra 2018,0.445,0.267,335536,0.241,0.162,6,0.95,-12.349,0,0.0336,113.944,0.128
2018-11-19T21:26:06Z,1CNoaARzkfSLpdAyku0PM9,Granda - Live,Męskie Granie Orkiestra 2018,0.00132,0.58,247938,0.809,0.000119,11,0.713,-6.353,0,0.0518,132.04,0.408
2018-11-19T21:24:17Z,0rZqjXnmdDQMHY9mAgxkQ0,Peron - Live,Męskie Granie Orkiestra 2018,0.0134,0.369,255536,0.706,0.00103,9,0.821,-8.003,0,0.0436,132.5,0.269
2018-11-18T11:24:02Z,5yFi22xR77stmM6Xshg7IH,Love a Girl Right,Little Mix,0.0214,0.624,182880,0.669,0,2,0.103,-5.011,0,0.0892,99.959,0.502
2018-11-18T11:23:57Z,2D3QYCDI7WrbSMbcIRRBdm,American Boy,Little Mix,0.114,0.632,191893,0.862,0,9,0.226,-4.218,0,0.0954,77.024,0.783
2018-11-16T22:54:44Z,7KfHeaOXXwaUZAYHIRgWIi,More Than Words (feat. Kamille),Little Mix,0.143,0.619,198840,0.565,0,9,0.109,-5.706,0,0.0602,134.515,0.336
2018-11-16T21:06:07Z,6XkEw1h2Hq4fGnSm0JuSIs,Strip (feat. Sharaya J),Little Mix,0.0729,0.677,199213,0.542,0,11,0.213,-7.01,0,0.341,123.751,0.46
2018-11-16T15:29:34Z,4bMrguhtW5l31SNXd5IdSK,In the End,Tommee Profitt,0.308,0.526,234716,0.671,4.07e-05,7,0.0869,-7.445,0,0.0968,88.033,0.102
2018-11-16T08:16:34Z,7tNmq5RWQmwYVll8iPfPBV,FEMME,Francesca Michielin,0.00358,0.77,203587,0.701,0.00811,4,0.112,-8.603,0,0.104,111.998,0.762
2018-11-15T22:32:08Z,2XUp7qu4yHbC5diVS7tmfo,Nie Pierwszy Raz - feat. Kuban,Smolasty,0.0172,0.677,166737,0.669,0,11,0.086,-6.031,0,0.0406,94.997,0.397
2018-11-13T20:19:15Z,16geeCnXrbiomV1IZ8Kudc,"Back to Life - from ""Bumblebee""",Hailee Steinfeld,0.0127,0.638,233858,0.659,0,10,0.187,-6.215,0,0.0627,103.029,0.341
2018-11-13T20:17:53Z,55S2PQgSMYAhgoTCcGCDfw,Youngblood,5 Seconds of Summer,0.0169,0.596,203418,0.854,0,7,0.124,-5.114,0,0.463,120.274,0.152
2018-11-12T11:15:33Z,2CdCs9y04oDuYCF4ewNzI7,Fiji,Taco Hemingway,0.197,0.774,242560,0.813,0.00233,5,0.122,-5.569,0,0.122,104.996,0.351
2018-11-09T19:34:41Z,18zllfjrozYQTau1RDQ0jf,Nie muszę,Julia Wieniawa,0.00252,0.683,250868,0.619,1.38e-05,0,0.115,-6.166,1,0.0388,121.013,0.414
2018-11-08T13:47:55Z,39VigLq155fsriPYNfHIBc,Hej wy,Kortez,0.804,0.367,245535,0.418,0.044,3,0.121,-10.036,0,0.0498,94.997,0.156
2018-11-07T08:17:26Z,3ewKQAIFCLDk0mbhV0HjWE,Your Bones,Of Monsters and Men,0.000429,0.393,249200,0.725,1.16e-06,2,0.246,-6.16,0,0.052,116.547,0.327
2018-11-04T13:30:52Z,74iZuPGwyL33VlTr6jTnab,Always Remember Us This Way,Lady Gaga,0.299,0.553,210200,0.502,0,0,0.764,-5.972,1,0.0409,129.976,0.296
2018-11-04T10:27:01Z,2rPE9A1vEgShuZxxzR2tZH,"thank u, next",Ariana Grande,0.28,0.724,207333,0.647,0,1,0.102,-5.642,1,0.0658,106.96,0.435
2018-11-03T22:40:57Z,5DfwIch71bZeCIe19iUtvc,Shhh… (I'm Not Gonna Lose It),Ankor,0.011,0.607,220607,0.922,5.71e-05,8,0.185,-3.767,1,0.0679,90.013,0.492
2018-11-03T18:50:09Z,6AYs0tPiSYKh18DIwqBLQY,rockstar,Sofia Karlberg,0.728,0.563,213530,0.548,3.61e-05,9,0.089,-7.114,0,0.0279,129.934,0.324
2018-11-01T23:39:37Z,2QApyk4ji8K7tYOf7LZa9b,Joan of Arc,Little Mix,0.00211,0.814,191760,0.627,0.00124,8,0.0607,-3.294,1,0.0499,100.019,0.603
2018-11-01T15:17:48Z,7aHUol3Vz9xHm4Yot2dSKi,Sucker Punch,Sigrid,0.00153,0.638,194323,0.642,4.07e-06,7,0.0826,-4.422,1,0.0639,165.984,0.676
2018-11-01T10:22:32Z,0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,0.934,0.351,200186,0.296,0,4,0.095,-10.109,0,0.0333,115.284,0.12
2018-10-29T14:25:42Z,3haxUceS8i97BLoB7WH3Mj,Over My Head,Echosmith,0.0968,0.656,208233,0.723,0,11,0.343,-4.975,0,0.0262,105.049,0.904
2018-10-29T09:42:55Z,3D0VYdEWg5x0OTWzlFK57E,Portrait I,The Howl & The Hum,0.303,0.678,257719,0.568,0.000365,7,0.0794,-6.913,1,0.0566,89.993,0.54
2018-10-29T09:41:20Z,0KEpMAqRKpUwv55RWeen66,Comme une reine,Madame Monsieur,0.00984,0.821,229453,0.493,0.0003,4,0.258,-5.49,0,0.0307,116.994,0.367
2018-10-26T19:54:43Z,1ABG6ke9SdUK9YayVafbcX,Le parole lontane,Måneskin,0.397,0.635,204933,0.573,0,2,0.133,-4.114,0,0.0279,125.946,0.403
2018-10-25T06:51:21Z,7d5fKiPSs51kKrFzQJZt6v,Precious,Guano Apes,0.000549,0.595,226987,0.717,0.17,7,0.347,-10.199,0,0.0273,112.027,0.549
2018-10-22T20:29:50Z,5ckUvSqW1Oaucm19P6VmIK,Downtown,Allie X,0.171,0.64,237165,0.511,0.000434,6,0.102,-7.653,1,0.0331,95.972,0.12
2018-10-22T11:54:10Z,4u50l1toYgIkqH5cDIBIZD,Więcej,Rosalie.,0.00617,0.619,164000,0.679,0.105,3,0.1,-7.046,0,0.0385,129.948,0.785
2018-10-22T11:52:22Z,1kq5dLuzkRLgemasnkUg9G,wonderful life (feat. Dani Filth),Bring Me The Horizon,0.000416,0.406,274403,0.964,0.000231,6,0.401,-4.076,1,0.206,173.058,0.406
